标签管理,菜单,tag,,,admin
可视化配置,菜单,/tag/visual,,标签管理,admin
分类管理,菜单,/tag/category,,标签管理,admin
标签列表,菜单,/tag/list,,标签管理,admin
可视化配置数据,接口,/api/tag/visual/**,mkt_odin_server,可视化配置,admin
创建分类,接口,/api/tag/category/create,mkt_odin_server,分类管理,admin
修改分类,接口,/api/tag/category/update,mkt_odin_server,分类管理,admin
删除分类,接口,/api/tag/category/delete,mkt_odin_server,分类管理,admin
启用禁用分类,接口,/api/tag/category/toggle,mkt_odin_server,分类管理,admin
查询分类列表,接口,/api/tag/category/list,mkt_odin_server,分类管理,admin
查询分类树,接口,/api/tag/category/tree,mkt_odin_server,分类管理,admin
查询叶子分类,接口,/api/tag/category/leafCategories,mkt_odin_server,分类管理,admin
查询分类详情,接口,/api/tag/category/detail,mkt_odin_server,分类管理,admin
查询打标规则,接口,/api/tag/category/*/tagRule,mkt_odin_server,分类管理,admin
更新打标规则,接口,/api/tag/category/*/tagRule,mkt_odin_server,分类管理,admin
导出标签,接口,/api/tag/export,mkt_odin_server,标签列表,admin
导入标签,接口,/api/tag/import,mkt_odin_server,标签列表,admin
创建标签,接口,/api/tag/leaf/create,mkt_odin_server,标签列表,admin
修改标签,接口,/api/tag/leaf/update,mkt_odin_server,标签列表,admin
删除标签,接口,/api/tag/leaf/delete,mkt_odin_server,标签列表,admin
启用禁用标签,接口,/api/tag/leaf/toggle,mkt_odin_server,标签列表,admin
查询标签列表,接口,/api/tag/leaf/list,mkt_odin_server,标签列表,admin
查询标签详情,接口,/api/tag/leaf/detail,mkt_odin_server,标签列表,admin
内容管理,菜单,content,,,admin
内容库,菜单,/content/list,,内容管理,admin
内容详情页,菜单,/content/detail,,内容管理,admin
搜索内容,接口,/api/content/search,mkt_odin_server,内容库,admin
内容筛选,接口,/api/content/filter,mkt_odin_server,内容库,admin
内容预览,接口,/api/content/preview,mkt_odin_server,内容库,admin
查看内容详情,接口,/api/content/detail,mkt_odin_server,内容详情页,admin
内容字典,接口,/api/content/dict,mkt_odin_server,内容库,admin
编辑内容标签,接口,/api/content/tags,mkt_odin_server,内容库,admin
下载内容,接口,/api/content/download,mkt_odin_server,内容库,admin
上传OSS,接口,/api/oss/transfer,mkt_odin_server,内容库,admin
创建内容,接口,/api/raw-content/create,mkt_odin_server,内容库,admin
批量创建内容,接口,/api/raw-content/batchCreate,mkt_odin_server,内容库,admin
更新内容,接口,/api/raw-content/update,mkt_odin_server,内容库,admin
删除内容,接口,/api/raw-content/delete,mkt_odin_server,内容库,admin
查询内容,接口,/api/raw-content/get,mkt_odin_server,内容库,admin
按内容ID查询,接口,/api/raw-content/getByContentId,mkt_odin_server,内容库,admin
内容列表,接口,/api/raw-content/list,mkt_odin_server,内容库,admin
更新同步状态,接口,/api/raw-content/updateSyncStatus,mkt_odin_server,内容库,admin
批量更新同步状态,接口,/api/raw-content/batchUpdateSyncStatus,mkt_odin_server,内容库,admin
触发同步,接口,/api/raw-content/triggerSync,mkt_odin_server,内容库,admin
任务管理,菜单,task,,,admin
任务列表,菜单,/task/list,,任务管理,admin
新建任务,菜单,/task/create,,任务管理,admin
任务详情页,菜单,/task/detail,,任务管理,admin
创建任务,接口,/api/task/create,mkt_odin_server,新建任务,admin
查询任务列表,接口,/api/task/list,mkt_odin_server,任务列表,admin
查询任务详情,接口,/api/task/detail/*,mkt_odin_server,任务详情页,admin
取消任务,接口,/api/task/cancel/*,mkt_odin_server,任务列表,admin
删除任务,接口,/api/task/delete/*,mkt_odin_server,任务列表,admin
重试任务,接口,/api/task/retry/*,mkt_odin_server,任务列表,admin
查询子任务列表,接口,/api/task/subtask/list,mkt_odin_server,任务详情页,admin
查询子任务详情,接口,/api/task/subtask/detail/*,mkt_odin_server,任务详情页,admin
重试子任务,接口,/api/task/subtask/retry/*,mkt_odin_server,任务详情页,admin
跳过子任务,接口,/api/task/subtask/skip/*,mkt_odin_server,任务详情页,admin
删除子任务,接口,/api/task/subtask/delete/*,mkt_odin_server,任务详情页,admin
查询执行器类型,接口,/api/executor/types,mkt_odin_server,新建任务,admin
查询执行器配置,接口,/api/executor/configs,mkt_odin_server,新建任务,admin
查询执行器数据源,接口,/api/executor/datasources,mkt_odin_server,新建任务,admin
查询任务类型标签,接口,/api/task/type-labels,mkt_odin_server,新建任务,admin
AI管理,菜单,ai,,,admin
ASR语音转写,接口,/api/ai/asr/transcribe,mkt_odin_server,AI管理,admin
图片理解,接口,/api/ai/image/understand,mkt_odin_server,AI管理,admin
图片理解流式,接口,/api/ai/image/understand/stream,mkt_odin_server,AI管理,admin
视频处理,接口,/api/ai/video/process/demo,mkt_odin_server,AI管理,admin
执行子任务,接口,/api/ai/subtask/execute/*,mkt_odin_server,AI管理,admin
埋点上报,接口,/api/track/event,mkt_odin_server,内容库,admin
